experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
antithetic_compare,antithetic,55210,25,-0.952565312,0.652521968,-0.45606339,-0.795847893,-0.756106734,0.0397411585,0.0471937135,0.0712718889,32,23.96875,767,691,76
antithetic_compare,antithetic,55210,26,0.742870808,-0.237741232,0.372004271,0.841193199,0.877133846,0.0359406471,0.0907730684,0.263671964,32,20.5,656,594,62
antithetic_compare,antithetic,55210,27,0.484651327,-0.19373858,0.495671988,0.765720844,0.786584735,0.0208638906,0.0631986111,0.127810061,32,27.25,872,816,56
antithetic_compare,antithetic,55210,28,0.344230533,-0.714321971,0.886509657,0.544523478,0.516418219,0.0281052589,0.055387035,0.0981671512,32,29.46875,943,888,55
antithetic_compare,antithetic,55210,29,-0.241797209,0.875861645,0.0377988815,0.71338594,0.671863317,0.0415226221,0.0473990925,0.0718935654,32,26.71875,855,772,83
lazy_refinement,full_exact,19044,1,-0.0558774471,-0.422173977,-0.223558068,-0.874099612,-0.701609492,0.17249012,0.119156562,0.454345137,32,29.0625,930,0,930
lazy_refinement,full_exact,19044,2,0.100058675,-0.690413713,0.715867639,0.123549342,0.1255126,0.00196325779,0.0376729369,0.045416005,32,22.53125,721,0,721
lazy_refinement,full_exact,19044,3,0.337347031,0.569536686,-0.324978709,0.607005656,0.581905007,0.0251006484,0.0402298421,0.0517900847,32,26.46875,847,0,847
lazy_refinement,full_exact,19044,4,-0.756362677,-0.994603753,-0.487870097,-2.23394179,-2.23883653,0.00489473343,0.00991022866,0.00314280437,32,15.40625,493,0,493
lazy_refinement,full_exact,19044,5,-0.55532527,-0.626185775,-0.210449576,-1.31291008,-1.39196062,0.0790505409,0.116953,0.437696129,32,25.9375,830,0,830
lazy_refinement,full_exact,19044,6,0.620250106,0.545908213,-0.552323222,0.648523092,0.613835096,0.0346879959,0.0979288667,0.306881994,32,36.28125,1161,0,1161
lazy_refinement,full_exact,19044,7,-0.310305476,-0.930320024,-0.187717438,-1.39484894,-1.42834294,0.0334939957,0.0551507436,0.0973313376,32,30.53125,977,0,977
lazy_refinement,full_exact,19044,8,-0.96320343,-0.673972011,-0.35150826,-1.99268949,-1.9886837,0.00400578976,0.0702708513,0.158015743,32,23.375,748,0,748
lazy_refinement,full_exact,19044,9,-0.819765806,-0.219050527,-0.458984256,-1.31981564,-1.49780059,0.177984953,0.0986011103,0.311109722,32,30.78125,985,0,985
lazy_refinement,full_exact,19044,10,0.818896294,0.270151377,-0.623192668,0.434980959,0.465855002,0.0308740437,0.117630765,0.442783922,32,26.875,860,0,860
lazy_refinement,full_exact,19044,11,0.410355091,0.797069669,-0.155277252,1.05076456,1.05214751,0.00138294697,0.0582218766,0.108473189,32,27.21875,871,0,871
lazy_refinement,full_exact,19044,13,-0.355061054,0.712339044,0.418815851,0.945566177,0.776093841,0.169472337,0.118354306,0.448247731,32,26.34375,843,0,843
lazy_refinement,full_exact,19044,14,-0.0921807289,-0.653571367,-0.440294862,-1.36652327,-1.18604696,0.180476308,0.101022854,0.32657975,32,28.875,924,0,924
lazy_refinement,full_exact,19044,17,0.188871503,0.538617134,0.672124505,1.53841388,1.39961314,0.13880074,0.0921321958,0.271626949,32,25.75,824,0,824
lazy_refinement,full_exact,19044,18,0.293503523,-0.514340997,0.917493105,0.700071335,0.696655631,0.00341570377,0.0126587441,0.00512780156,32,20.34375,651,0,651
lazy_refinement,full_exact,19044,19,0.994804144,-0.311095953,0.162078857,0.840587616,0.845787048,0.00519943237,0.0129505973,0.00536697451,32,16.25,520,0,520
lazy_refinement,full_exact,19044,20,0.758499384,-0.811586142,-0.133755088,-0.167046383,-0.186841846,0.0197954625,0.0787745118,0.19857356,32,24.71875,791,0,791
lazy_refinement,full_exact,19044,21,0.796708465,-0.688950539,-0.597998142,-0.41741541,-0.490240216,0.072824806,0.0746062323,0.178114861,32,23.46875,751,0,751
lazy_refinement,full_exact,19044,22,0.936746001,0.607351661,-0.991341591,0.535119712,0.552756071,0.0176363587,0.00681411661,0.00148582994,32,17.46875,559,0,559
lazy_refinement,full_exact,19044,23,0.419842243,-0.504174709,0.789068937,0.6813187,0.704736471,0.0234177709,0.0418721475,0.0561048575,32,22.71875,727,0,727
lazy_refinement,full_exact,19044,24,0.203329682,0.70038116,-0.105433702,0.812894285,0.79827714,0.0146171451,0.0373702757,0.0446892008,32,23.28125,745,0,745
lazy_refinement,full_exact,19044,26,-0.270190716,-0.654679537,-0.763555646,-1.84139466,-1.6884259,0.152968764,0.0775270909,0.192334384,32,28.59375,915,0,915
