mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index,boundary,seed,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid,dataset,walks
bunny,original,17,3,0.3,0.6,0.113617323,0.168857753,-0.0109422961,0.3885132206371773,0.005752115453380764,1.317918868966276e-05,1.5229189707399013,0.8942588739725646,0.001313186759217248,65,neumann,12601,,,,,,,,,0.0001,256,,,0,,part1_neumann,256
bunny,original,18,3,0.3,0.6,0.116341144,-0.0378473513,0.0527696274,0.44386919727186935,0.007251759391086687,2.244880357365889e-05,1.1848826449141183,0.9811578189559745,0.0016304058386852709,66,neumann,12601,0.149894848,0.13126342,0.0186314285,0.0135991648,0.0473439433,256,34.6835938,0,0.0001,256,8879,8087,792,1,part1_neumann,256
bunny,original,19,3,0.3,0.6,-0.206184343,0.061395511,0.0673949867,0.5169462908975928,0.005844815933676612,1.4659169721141778e-05,1.1336370072344846,0.9881352561046716,0.0025712526692226088,67,neumann,12601,-0.0820872188,-0.0773938447,0.00469337404,0.0052898922,0.00716363778,256,21.8828125,0,0.0001,256,5602,5042,560,1,part1_neumann,256
bunny,original,20,3,0.3,0.6,-0.144615397,-0.032241337,-0.0559634902,0.45148817586510626,0.006478380035748159,1.5788665784418172e-05,1.7163227442366378,0.8257851067465032,0.3265283664390986,68,neumann,12601,-0.25282833,-0.232820213,0.020008117,0.0120630525,0.0372524112,256,44.3984375,0,0.0001,256,11366,10366,1000,1,part1_neumann,256
bunny,original,21,3,0.3,0.6,0.0453369617,0.00182685757,0.178367674,0.5632918192220991,0.005598313248089929,1.1905653898200171e-05,1.6716942900338274,0.8424977281942649,0.02973005458174338,69,neumann,12601,0.255986691,0.225531489,0.0304552019,0.00814508088,0.0169836394,256,30.484375,0,0.0001,256,7804,7088,716,1,part1_neumann,256
bunny,original,22,3,0.3,0.6,-0.00185252039,-0.0555358306,-0.00924431439,0.3604707805588471,0.006447262181846966,1.531560050883074e-05,1.816086996867246,0.8032329755129605,0.020026840214185253,70,neumann,12601,-0.0930602029,-0.0666326657,0.0264275372,0.0154703232,0.0612687096,256,65.5976562,0,0.0001,256,16793,15386,1407,1,part1_neumann,256
bunny,original,23,3,0.3,0.6,0.0137467328,0.139786586,-0.153557196,0.4906469883230316,0.005467268327115716,1.046101783949705e-05,1.9546388451361092,0.7572739484644909,0.09236807075649604,71,neumann,12601,-0.00249095587,-2.38716602e-05,0.00246708421,0.0103797698,0.0275813434,256,39.2382812,0,0.0001,256,10045,9108,937,1,part1_neumann,256
bunny,original,0,4,0.6,1.0,-0.119972147,-0.0806263313,0.130840808,0.6255723574720307,0.005169367022023663,1.0115516565606703e-05,1.6049680667068116,0.8427670501797373,0.0382698197297198,72,neumann,12601,-0.0690511689,-0.0697576702,0.000706501305,0.0114109674,0.0333338045,256,33.7109375,0,0.0001,256,8630,7878,752,1,part1_neumann,256
bunny,original,1,4,0.6,1.0,0.0432558507,-0.137836963,0.0760126561,0.7147609639398163,0.005594085194917337,1.2446365708831615e-05,1.5113271910727628,0.8941251257146124,0.034112443946133476,73,neumann,12601,-0.0303384028,-0.0185684562,0.0117699467,0.0115963342,0.0344255902,256,33.546875,0,0.0001,256,8588,7821,767,1,part1_neumann,256
bunny,original,2,4,0.6,1.0,0.0735844821,-0.177804902,-0.0255905464,0.8790832087509877,0.007761140362502917,2.0905690239464215e-05,2.0265925925155943,0.7457796019138863,0.008528534159739679,74,neumann,12601,-0.138049394,-0.129810959,0.00823843479,0.00929985289,0.0221407376,256,28.921875,0,0.0001,256,7404,6748,656,1,part1_neumann,256
bunny,original,3,4,0.6,1.0,0.102928393,-0.123140618,-0.184098393,0.9790646299048135,0.005263876368379489,6.840621974117129e-06,2.308833225863084,0.5149364168096635,0.032769261621910774,75,neumann,12601,-0.203461394,-0.204310626,0.000849232078,0.00844274927,0.0182476845,256,25.1601562,0,0.0001,256,6441,5890,551,1,part1_neumann,256
