point_index,x,y,z
456,0.0733333333,0.66,-0.953333333
457,0.22,0.66,-0.953333333
458,0.366666667,0.66,-0.953333333
459,0.513333333,0.66,-0.953333333
460,0.66,0.66,-0.953333333
461,0.806666667,0.66,-0.953333333
462,0.953333333,0.66,-0.953333333
463,1.1,0.66,-0.953333333
464,-1.1,0.806666667,-0.953333333
465,-0.953333333,0.806666667,-0.953333333
466,-0.806666667,0.806666667,-0.953333333
467,-0.66,0.806666667,-0.953333333
468,-0.513333333,0.806666667,-0.953333333
469,-0.366666667,0.806666667,-0.953333333
470,-0.22,0.806666667,-0.953333333
471,-0.0733333333,0.806666667,-0.953333333
472,0.0733333333,0.806666667,-0.953333333
473,0.22,0.806666667,-0.953333333
474,0.366666667,0.806666667,-0.953333333
475,0.513333333,0.806666667,-0.953333333
476,0.66,0.806666667,-0.953333333
477,0.806666667,0.806666667,-0.953333333
478,0.953333333,0.806666667,-0.953333333
479,1.1,0.806666667,-0.953333333
480,-1.1,0.953333333,-0.953333333
481,-0.953333333,0.953333333,-0.953333333
482,-0.806666667,0.953333333,-0.953333333
483,-0.66,0.953333333,-0.953333333
484,-0.513333333,0.953333333,-0.953333333
485,-0.366666667,0.953333333,-0.953333333
486,-0.22,0.953333333,-0.953333333
487,-0.0733333333,0.953333333,-0.953333333
488,0.0733333333,0.953333333,-0.953333333
489,0.22,0.953333333,-0.953333333
490,0.366666667,0.953333333,-0.953333333
491,0.513333333,0.953333333,-0.953333333
492,0.66,0.953333333,-0.953333333
493,0.806666667,0.953333333,-0.953333333
494,0.953333333,0.953333333,-0.953333333
495,1.1,0.953333333,-0.953333333
496,-1.1,1.1,-0.953333333
497,-0.953333333,1.1,-0.953333333
498,-0.806666667,1.1,-0.953333333
499,-0.66,1.1,-0.953333333
500,-0.513333333,1.1,-0.953333333
501,-0.366666667,1.1,-0.953333333
502,-0.22,1.1,-0.953333333
503,-0.0733333333,1.1,-0.953333333
504,0.0733333333,1.1,-0.953333333
