mesh,dataset,feature,bin,feature_min,feature_max,count,abs_error_mean,abs_error_median,sample_variance_mean,sample_variance_median,samples_used_mean,samples_used_median,mean_steps_mean,mean_steps_median,bias_indicator_mean,bias_indicator_median,normalized_bias_mean,normalized_bias_median,abs_error_epsilon_mean,abs_error_epsilon_median
bunny,dirichlet_pointcloud,local_normal_variation,3,0.013072050112379368,0.06483212739418477,123,0.006095224418268294,0.004798919,0.017505024897967483,0.01536463,256.0,256.0,21.353436234146347,21.707031,,,,,,
bunny,dirichlet_pointcloud,local_normal_variation,4,0.06483212739418477,0.56444753213435,123,0.005964267953414634,0.0049936771,0.01648416570109756,0.013880771,256.0,256.0,21.539443577235772,21.773438,,,,,,
bunny,dirichlet_pointcloud,local_quality,1,0.14735202249184703,0.7687931677225366,123,0.0058448779088699195,0.0039157439,0.01731716382021138,0.016065814,256.0,256.0,21.1983294699187,21.609375,,,,,,
bunny,dirichlet_pointcloud,local_quality,2,0.7687931677225366,0.8300941991829365,122,0.005629663351393442,0.0041772905,0.018154330792295087,0.016033581499999998,256.0,256.0,21.860143450819674,22.234375,,,,,,
bunny,dirichlet_pointcloud,local_quality,3,0.8300941991829365,0.8714848904901727,123,0.005741580781528457,0.0047778338,0.01682042905953821,0.014487098,256.0,256.0,21.495776188617885,21.664062,,,,,,
bunny,dirichlet_pointcloud,local_quality,4,0.8714848904901727,0.9987017643124845,124,0.005507936866434678,0.0037970915500000002,0.01662197724582258,0.013386611,256.0,256.0,21.242282046774196,21.6289065,,,,,,
bunny,neumann_pointcloud,nearest_distance_proxy_norm,1,0.021315875892674956,0.4478201927265225,25,0.013201417788800001,0.0066421553,0.04210653348,0.047382731,256.0,256.0,61.9292188,52.910156,,,,,,
bunny,neumann_pointcloud,nearest_distance_proxy_norm,2,0.4478201927265225,0.6541333365923748,24,0.008777030622916668,0.00740358235,0.023182201833083334,0.0224218565,256.0,256.0,31.090169250000002,31.1464845,,,,,,
bunny,neumann_pointcloud,nearest_distance_proxy_norm,3,0.6541333365923748,0.7970222862115077,25,0.006789719241919999,0.0058635762,0.014012750319746801,0.011190222,256.0,256.0,22.80968746,22.628906,,,,,,
bunny,neumann_pointcloud,nearest_distance_proxy_norm,4,0.7970222862115077,1.2554220722696414,25,0.005704243936,0.0046891458,0.010370177792,0.011709499,256.0,256.0,21.862968719999998,21.4375,,,,,,
bunny,neumann_pointcloud,local_edge_mean_norm,1,0.0034138943186082875,0.005492605680455817,25,0.006651096848,0.0049184412,0.017848820716,0.014882259,256.0,256.0,28.01593748,26.460938,,,,,,
bunny,neumann_pointcloud,local_edge_mean_norm,2,0.005492605680455817,0.005699254147941592,24,0.012698619315083334,0.0077039525,0.026242764426986254,0.0208896825,256.0,256.0,45.5791015625,32.013672,,,,,,
bunny,neumann_pointcloud,local_edge_mean_norm,3,0.005699254147941592,0.006267870786025851,25,0.006963049281039999,0.0049516559,0.019970548605600002,0.016704455,256.0,256.0,32.383281319999995,27.964844,,,,,,
