mesh,dataset,feature,target,pearson_r,n
spot,bias_eps_1e-3,local_quality,normalized_bias,-0.04049690688665714,3876
spot,bias_eps_1e-3,local_quality,mean_steps_epsilon,-0.0910071849568682,3876
spot,bias_eps_1e-3,local_quality,abs_error_epsilon,-0.09329451303805635,3876
spot,bias_eps_1e-3,local_normal_variation,bias_indicator,-0.15166997634585624,3876
spot,bias_eps_1e-3,local_normal_variation,normalized_bias,-0.11038347330896665,3876
spot,bias_eps_1e-3,local_normal_variation,mean_steps_epsilon,-0.22511451456775708,3876
spot,bias_eps_1e-3,local_normal_variation,abs_error_epsilon,-0.21207039914992734,3876
spot,adaptive_dirichlet,nearest_distance_proxy_norm,abs_error,-0.06398771313043934,459
spot,adaptive_dirichlet,nearest_distance_proxy_norm,std_error,-0.242959680290894,459
spot,adaptive_dirichlet,nearest_distance_proxy_norm,sample_variance,-0.2890527548359891,459
spot,adaptive_dirichlet,nearest_distance_proxy_norm,samples_used,-0.26334609778636064,459
spot,adaptive_dirichlet,nearest_distance_proxy_norm,mean_steps,-0.3840866667972245,459
spot,adaptive_dirichlet,local_edge_mean_norm,abs_error,0.07516098866001399,459
spot,adaptive_dirichlet,local_edge_mean_norm,std_error,0.18559670495071542,459
spot,adaptive_dirichlet,local_edge_mean_norm,sample_variance,0.2273316047213341,459
spot,adaptive_dirichlet,local_edge_mean_norm,samples_used,0.1218488818024293,459
spot,adaptive_dirichlet,local_edge_mean_norm,mean_steps,0.15645247232979478,459
spot,adaptive_dirichlet,local_area_norm,abs_error,0.057789586266028765,459
spot,adaptive_dirichlet,local_area_norm,std_error,0.1683834114609905,459
spot,adaptive_dirichlet,local_area_norm,sample_variance,0.20765821245481447,459
spot,adaptive_dirichlet,local_area_norm,samples_used,0.10931120025123964,459
spot,adaptive_dirichlet,local_area_norm,mean_steps,0.14678844397907437,459
spot,adaptive_dirichlet,local_aspect_ratio,abs_error,0.10019424817949348,459
spot,adaptive_dirichlet,local_aspect_ratio,std_error,0.13472078414504102,459
spot,adaptive_dirichlet,local_aspect_ratio,sample_variance,0.15252089802364252,459
spot,adaptive_dirichlet,local_aspect_ratio,samples_used,0.0372941888483738,459
spot,adaptive_dirichlet,local_aspect_ratio,mean_steps,0.06416142109333324,459
spot,adaptive_dirichlet,local_quality,abs_error,-0.06947005101114247,459
spot,adaptive_dirichlet,local_quality,std_error,-0.08441947329440562,459
spot,adaptive_dirichlet,local_quality,sample_variance,-0.10062709336822151,459
spot,adaptive_dirichlet,local_quality,samples_used,0.015945726435650114,459
spot,adaptive_dirichlet,local_quality,mean_steps,-0.002771604504070145,459
